N° Ola,INVENTORY_ID,ADDRESS_ID_TO,Seller,Holding,Cantidad
1,UFAT39438,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,1
1,USRA67263,NA-1-003-000-00-00,JINGMALLMX1,JingMall,4
1,EVFA84502,NA-1-003-000-00-00,YWXLIGHTMX1,YWXLIGHT,1
1,SHNW88536,NA-1-003-000-00-00,ENJOYTECHNOLOGYLIFEMX,enjoy technology life,3
1,GCUB55424,NA-1-003-000-00-00,LINHUMX,LINHU,1
1,TJRU16358,NA-1-003-000-00-00,TUYUEMX,TuYue,1
1,ZCHW02730,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,1
1,DRDO69261,RI-0-001-000-00-00,GRUPODECME,GRUPO DECME,1
1,OCUV52433,NA-1-003-000-00-00,BOWOSHENMX1,Bowoshen,1
1,SCUR26968,NA-1-003-000-00-00,MXBEBELLA,bebella,1
1,UKNM35391,NA-1-003-000-00-00,TOMCLOVERSMX1,Tom Clovers,1
1,HLYQ68672,NA-1-003-000-00-00,LAMPOEXPRESSMX1,LampoExpress,2
1,HQQP53723,NA-1-003-000-00-00,COWALKERSMX,COWALKERS,2
1,VUYV07448,NA-1-003-000-00-00,MYWINNITECHNOLOGYMX,Mywinni Technology,1
1,VBNS63243,NA-1-003-000-00-00,RENAHOMEMX1,Rena home,1
1,KHBC55261,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,1
1,ERIM29963,NA-1-003-000-00-00,PUBAMALLMXMX,PUBAMALL MX,1
1,PAGJ53251,NA-1-003-000-00-00,DETUOSI-MXMX,DETUOSI-mx,1
1,MKSR29646,NA-1-003-000-00-00,NEENCASPORTSMX,NEENCA SPORTS,1
1,DVKL60755,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,1
1,CMWU57999,NA-1-003-000-00-00,GUYUNMX,GUYUN,7
1,JDGY16633,NA-1-003-000-00-00,HIFANINDUSTRYMX,HIFAN INDUSTRY,3
1,QUWH67180,NA-1-003-000-00-00,BERGLANDERHOUSEWAREMX,Berglander Houseware,1
1,JABV83302,NA-1-003-000-00-00,MXRABBITSTORMML,Rabbitstorm ml,10
1,HFNJ43439,NA-1-003-000-00-00,ONEBYONEMX,ONE BY ONE,1
1,XAMR93063,NA-1-003-000-00-00,MXLUCKYSTARS,Luckystars,2
1,PHTB72768,NA-1-003-000-00-00,ABAQUEMX1,Abaque,2
1,WJUW14450,NA-1-003-000-00-00,SH-ML10MX1,SH-ML10,1
1,DMHT85691,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,1
1,KKOU53982,NA-1-003-000-00-00,KRYDEXTACTICALMX1,Krydex Tactical,1
1,KLOS48873,NA-1-003-000-00-00,MXELECTRONICSSHOP,Electronicsshop,2
1,JPKD48286,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,3
1,PIJL92858,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,1
1,DLBP22276,NA-1-003-000-00-00,BT-ML04MX1,BT-ML04,1
1,HQQP24537,NA-1-003-000-00-00,AVIUSMX1,AVIUS,2
1,MHXR75922,NA-1-003-000-00-00,MXSUPCASEANDIBLASONOFFICIA,Supcase and i-Blason official,2
1,UHVK60826,NA-1-003-000-00-00,ZHIGAOMX,Zhigao,5
1,UMOF57039,NA-1-003-000-00-00,YIPMAIMX1,Yipmai,1
1,KZKR97500,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,1
1,VJLP63579,NA-1-003-000-00-00,NHMLMX,NHML,2
