N° Ola,SKU,Cantidad Solicitada,COSTO UNITARIO,SUM de gmv total,Descripción
1,AGEZ37470,2,11.84,23.68,2 X Mica Cristal Templado Samsung Tab E 9.6 T560 Detuosi
1,AGEZ38364,1,19.76,19.76,Par Reator Universal Para Lâmpada Xenon 12v 35w
1,AGEZ42614,3,8.19,24.57,Tenis Blanco K-swiss Ontare Vlc Niño
1,AGEZ49282,1,20.4,20.4,Zapatilla John Foos Verde
1,AGEZ50000,1,23.13,23.13,Zapato De Futbol adidas Hombre X Ghosted.3 Pasto Sintético
1,AGEZ54391,1,14.14,14.14,Colgate Plax Soft Mint Enxaguante Bucal 2 L
1,AGEZ60021,1,12.43,12.43,Lámpara Led Escalera De Pared Cortesía Foco Empotrable 1.5w
1,AGEZ63496,1,14.19,14.19,Sandália Verniz Salto Vizzano Bege 435 64301011348829452
1,AGEZ68400,5,14.26,71.3,Pantalla Display Para Samsung A30s Sm-a307 Oled Touch Negro
1,AGEZ68459,11,5.61,61.71,Sandália Anabela Camel Bege Vizzano
1,AGEZ71566,1,15.77,15.77,Inversor De Corriente Para Auto 4000w 12v-110v 60hz
1,AGEZ72280,2,10.23,20.46,Funda Para Samsung Case + Cristal Templado Mica
1,AGEZ74798,2,27.45,54.9,Albumina Refil - 500g Sabores - Proteína Pura
1,AGEZ76517,1,13.27,13.27,Correa De Silicona Para Samsung Galaxy Fit 2 Sm-r220
1,AGEZ81287,1,23.99,23.99,Tapete Higiênico Para Cachorros 50 Unidades - Chalesco
1,AGEZ81900,1,22.82,22.82,Udry Mini - Escorredor Dobrável Cor Cinza - Umbra
1,AGEZ83886,1,28.24,28.24,Pop It Fidget Toy Empurre Pop Bolha Autismo Original
1,AGEZ84334,2,20.26,40.52,Sauna Playera Sudor Trade De Camiseta Mujer Faja Reductora
1,AGEZ85351,1,8.32,8.32,Caja Registradora Juguete De Infantil Juego Para Niñas Niño
1,AGEZ86268,1,9.88,9.88,Gimnasio Short Con Licra Deportiva 2 En 1 Hombre Correr
1,AGEZ87217,2,16.5,33,Adaptador De Cable De Carga Usb Macho A Hembra Otg
1,AGEZ88205,1,18.85,18.85,Pantalon Para Hombre Perry Ellis 4ffb5314
1,AGEZ89329,3,36.9,110.7,Tank Top Express Mujer 062806284242-00135
1,AGEZ90041,3,12.28,36.84,Botão Pisca Alerta Original Ford Courier Ecosport Fiesta Ka
1,AGEZ91850,10,30.43,304.3,Relógio Champion Feminino Azul Turquesa + Colar E Brincos
1,AIRQ08810,1,16.13,16.13,Mando A Distancia Al Aire Libre Doble Cabeza Solar Lámpara C
1,AIRQ46200,3,11.7,35.1,Kit P/ Mulher: Max Shake Feminino + Colageno - Max Titanium
1,AIRQ50852,1,22.64,22.64,Bota Detalhe Metálico Beira Rio Preta 9068-101-20177-15745
1,AIRQ81803,1,19.23,19.23,Camisa Estampada Reserva - Preto 0054897040
1,AJEE02058,1,32.64,32.64,Andoer W49 Mini Interlock Cámara Led Panel Luz Regulable
1,AJEE04163,3,10.13,30.39,Macacão Baby Moletom Estrelas Brandili Natural 54063
1,AJEE05245,1,6.96,6.96,Sabonete Em Barra Protex Limpeza Profunda 200g
1,AJEE44804,3,20.25,60.75,Panty Faja Calzón Reductora Levanta Glúteos Pompas Moldeador
1,AJEE84347,1,14.78,14.78,Kit Confecção De Peruca Front Lace Wig E Prótese: 1 Tela Suiça Com Furos Cor Nude + 1 Agulha Alemã 2-3 Fios + 1 Mandril
1,AJEE86833,5,28.26,141.3,Memoria Usb Adata 64gb C008 Blanco - Azul
1,ALJY08909,1,2.12,2.12,Transmisor Fm Manos Libres Bluetooth C/2 Puertos Usb P/auto
1,ALJY19672,1,14.81,14.81,Carregador Cabo Para Relógio Smartwatch P70s P70 Pro P80 P68
1,ALJY20553,1,14.21,14.21,Panela Tipo Caçarola Com Revestimento Cerâmico 32 Cm Le Cook
1,ALJY24867,3,8.52,25.56,Humidificador De Difusor De Aromaterapia Ultrasónico Con Led
1,ALJY48049,1,19.05,19.05,Máquina De Corte De Pelo Profesional Eléctrica Kemei Km-1996
1,ALJY57672,1,12.89,12.89,Sandália Feminina Cabedal Têxtil Preto - Modare
1,ALOS16803,1,37.99,37.99,Capa Protetora Térmica P/ Sol E Chuva P/ Montain Bike Aro 29
1,ALOS21167,1,24.11,24.11,Taza Abystyle Star Wars Galaxy Tour 325 Ml
1,ALOS72280,1,24.9,24.9,Audífonos Inalámbricos F9-5 Negro
1,ALOS92046,1,26.9,26.9,Suéter Only Mujer Bordado
1,ALOS92363,1,18.73,18.73,Jogo 4 Calotas Velox Prata Preta Aro 14 Ford Ka Sedan Hatch
1,AMIK02494,8,17.1,136.8,Kit Shampoo Condicionador Máscara E Leave-in Blends - Inoar
1,AMIK03481,1,9.46,9.46,Tenis Converse Blanco 570325c Mujer
1,AMIK04035,3,7.28,21.84,Lámpara De Mesa 7w Luz De Trabajo Para Tatuajes Y Uñas
1,AMIK19297,4,9.02,36.08,5 En 1 Plancha Rizadora De Cabello Cerámica Profesional
1,AMIK19883,3,36.97,110.91,Kit De Luces Led De 4 Lados H4 H13 9004 9007 Blanca
1,AMIK19896,1,20.46,20.46,Fone De Ouvido Bluetooth Samsung Galaxy Buds Live Sem Fio
1,AMIK23870,1,28.88,28.88,Audífonos Inalámbricos Haylou Gt1 Pro Negro
1,AMIK27918,1,12.91,12.91,Báscula Huawei Scale 3
1,AMIK28685,1,18.17,18.17,Água Mineral Natural Minalba Sem Gás Lata 310ml Exclusiva
1,AMIK28778,1,15.25,15.25,Tenis Hombre Under Armour Hovr Phantom Night Naranja
1,AMIK28797,3,28.72,86.16,Jeans Corte Skinny Skinny Express Hombre 3322775620-20
1,AMIK35176,1,36.92,36.92,Transformers Generations Figura Wfc-k12 Starscream
1,AMIK59004,3,11.52,34.56,24 Gloss Labial Sorvetinho Vivai Revenda Maquiagem Atacado
1,AMIK60554,1,6.06,6.06,Funda 777 iPhone 12/6/7/8/x + *h Cristal Templado + 3 Regalo
1,AMIK76102,1,27.3,27.3,Béisbol Uniforme De Moda Chaqueta Abrigo Señoras
1,AMIK76501,2,13,26,Câmera Ré Hd Visão Noturna Ajuste 360 Envio Em 24 Horas
1,AMIK78299,5,25.65,128.25,Calzado De Trabajo De Seguridad Anti-pinchazos
1,AMZJ00394,2,21.19,42.38,Sandália Salto Meia Pata Vizzano Verde 64171111348878287
1,APFU00122,6,5.78,34.68,Entixo Lentes Filtro De Luz Azul Computadora Hombre Y Mujer
1,APFU04019,2,32.16,64.32,Grifo Mezclador Monomando Para Llave Fregadero Tarja Cocina
1,APFU04995,1,22.93,22.93,Funda De Volante Casera De Línea Roja Color Negro
1,APFU07183,2,24.81,49.62,Película Vidro Para Tablet Galaxy Tab A 10.1 T515 T510 2020
1,APFU18597,1,14.85,14.85,Parka New Balance Extreme Negro Mujer
1,APFU22586,4,14.15,56.6,Quadro Decorativo Abstrato Terracota Verde Sala Quarto
1,ARBY13922,1,17.39,17.39,Lámpara Uñas Uv Led 168w Secador De Uñas Luces Portátiles
1,ARBY15716,1,3.68,3.68,Shorts Transpirables De Ciclismo Arsuxeo Para Mujer Cojín 3d
1,ARBY17028,1,13.42,13.42,"Funda Cargadora De Batería Para iPhone 12 Pro Max, Blanco"
1,ARBY22141,1,17.52,17.52,Sapato Scarpin Cabedal Drapeado Via Uno Preto 459002sv
1,ARBY30674,4,10.09,40.36,Smart Tv Monitor Led 23.6 24tl520s 2 Hdmi 1 Usb Wi-fi LG
1,ARBY31426,1,21.66,21.66,Kit 5 Camisetas Babylook Básica Gola Careca Basicamente
1,ARBY35937,3,25.94,77.82,Audífono Inalámbricos Bluetooth Para iPhone Xiaomi Huawei
1,ARBY59908,2,11.2,22.4,Bruna Tavares - Contorno - Bt Contour
1,ARBY73217,1,17.37,17.37,Água Perfumada Spray Para Tecido Alecrim Silvestre Via Aroma
1,ARBY79864,1,31.98,31.98,Botella Piedra Agua Cristal Energético De Cuarzo
1,ARBY81097,1,15.48,15.48,Cubo Turbo Cargador 20w Compatible Con iPhone X 11 12 Usb C
1,ARGH17670,1,28.22,28.22,Pantalla Para Zte Blade V10 Vita Lcd Original
1,ARGH48792,1,13.72,13.72,Tinta China Atl 17ml Caligrafia Dibujo Gotero Color Escoger
1,ARGH52240,1,28.01,28.01,Paleta De Sombra Soft Nude Feels Ruby Rose / Lançamento
1,ARGH56340,1,36.38,36.38,Bota Cano Curto Com Ziper Básica Preta Colcci
1,ARGH85783,3,37.8,113.4,Vinho Mini Cabernet Sauvig Suave Virtus Monte Paschoal 250ml
1,ARLR25602,4,18.94,75.76,"Kakegurui Cosplay, Yomoduki Runa Disfraz, Sudadera Con Capuc"
1,ARLR31125,9,38.66,347.94,"Inyector Para Derby Jetta A3, Golf, Motor 1.8 Bac906031"
1,ARLR44787,2,21.35,42.7,Disney Store Figuras Scarlet Witch Y Vision Toybox 2021
1,ARLR70735,2,29.51,59.02,Funda Para Lenovo Tab M10 Hd 10.1 Tb-x505f Tb-x605l Rosa
1,ARLR80725,1,35.42,35.42,Mica De Privacidad Para Iphine12 Y Xiaomi Redmi
1,ARLR84190,1,11.09,11.09,Camisa Masculina We´re The Basic - Azul 214148
1,ARLR94262,1,18.97,18.97,Lâmpada Retrô Filamento Led 4w A60 400lm Bivolt Philips
1,ARNS28491,13,20.12,261.56,"Tenis, Skechers, Dama, 12615bktq, Womens Sport W,"
1,ARNS39205,10,3.01,30.1,Kemei Km-809a 100v/240v
